Perspectiva,Localizacao,Categoria,Ano_Inicio,Mes_Inicio,Ano_Fim,Mes_Fim,Total_Admissoes,Total_Demissoes,Saldo_Liquido,Estoque_Final,Media_Mensal_Admissoes,Media_Mensal_Demissoes,Salario_Medio_Periodo,Variacao_Admissoes_Pct,Variacao_Demissoes_Pct,Mes_Maior_Admissao,Valor_Maior_Admissao,Mes_Maior_Demissao,Valor_Maior_Demissao,Taxa_Crescimento_Liquido_Pct,Total_Meses
Natal - TI,Natal,TI,2024,1,2025,9,31,3,28,28,1.5,0.1,12448.89,22.2,,202506,7,202411,2,90.3,21
Natal - C&T,Natal,C&T,2024,1,2025,9,198,38,160,160,9.4,1.8,8773.86,47.8,-71.4,202506,23,202404,13,80.8,21
Recife - TI,Recife,TI,2024,1,2025,9,72,9,63,63,3.4,0.4,4167.03,-31.8,-100.0,202401,6,202401,2,87.5,21
Recife - C&T,Recife,C&T,2024,1,2025,9,436,44,392,392,20.8,2.1,3062.86,-32.0,-63.2,202401,76,202401,5,89.9,21
Salvador - TI,Salvador,TI,2024,1,2025,9,85,10,75,75,4.0,0.5,4172.28,-34.4,-100.0,202502,10,202402,2,88.2,21
Salvador - C&T,Salvador,C&T,2024,1,2025,9,504,43,461,461,24.0,2.0,3137.37,-45.7,-64.7,202401,55,202401,7,91.5,21
Fortaleza - TI,Fortaleza,TI,2024,1,2025,9,118,9,109,109,5.6,0.4,3591.5,-54.5,-83.3,202401,15,202406,3,92.4,21
Fortaleza - C&T,Fortaleza,C&T,2024,1,2025,9,443,61,382,382,21.1,2.9,3056.2,-21.0,-48.1,202401,49,202504,10,86.2,21
João Pessoa - TI,João Pessoa,TI,2024,1,2025,9,52,0,52,52,2.5,0.0,2920.88,-46.2,,202503,11,,0,100.0,21
João Pessoa - C&T,João Pessoa,C&T,2024,1,2025,9,161,17,144,144,7.7,0.8,6237.46,-36.7,100.0,202405,16,202504,3,89.4,21
RN - TI,RN,TI,2024,1,2025,9,49,3,46,46,2.3,0.1,10037.37,18.8,,202506,8,202411,2,93.9,21
RN - C&T,RN,C&T,2024,1,2025,9,384,56,328,328,18.3,2.7,6116.01,20.5,-65.5,202412,56,202404,15,85.4,21
Nordeste - TI,Nordeste,TI,2024,1,2025,9,830,75,755,755,39.5,3.6,9050.53,-30.0,-86.5,202401,71,202406,13,91.0,21
Nordeste - C&T,Nordeste,C&T,2024,1,2025,9,6590,671,5919,5919,313.8,32.0,3929.71,-11.3,-49.6,202401,587,202401,50,89.8,21
Brasil - TI,Brasil,TI,2024,1,2025,9,5213,1241,3972,3972,248.2,59.1,5167.61,-44.3,-88.0,202401,526,202402,178,76.2,21
Brasil - C&T,Brasil,C&T,2024,1,2025,9,30706,3709,26997,26997,1462.2,176.6,3868.35,-19.0,-53.9,202401,2960,202409,331,87.9,21
