Perspectiva,Localizacao,Categoria,ano,mes,Competencia,Admissoes,Demissoes,Saldo,Salario_Medio,Estoque
Brasil C&T,Brasil,C&T,2024,1,202401,25514,21153,4361,2972.8328646245272,4361
Brasil C&T,Brasil,C&T,2024,2,202402,26071,20458,5613,3055.3370599832842,9974
Brasil C&T,Brasil,C&T,2024,3,202403,26974,21551,5423,3125.591486264189,15397
Brasil C&T,Brasil,C&T,2024,4,202404,28227,23642,4585,3104.473686162242,19982
Brasil C&T,Brasil,C&T,2024,5,202405,25750,24771,979,3181.7516243664872,20961
Brasil C&T,Brasil,C&T,2024,6,202406,24262,22303,1959,3204.0195277515654,22920
Brasil C&T,Brasil,C&T,2024,7,202407,26957,23795,3162,3304.9177898892294,26082
Brasil C&T,Brasil,C&T,2024,8,202408,25408,23035,2373,3149.295187331175,28455
Brasil C&T,Brasil,C&T,2024,9,202409,24546,22958,1588,3339.8890810901685,30043
Brasil C&T,Brasil,C&T,2024,10,202410,24350,24332,18,3376.5664052300995,30061
Brasil C&T,Brasil,C&T,2024,11,202411,21812,22054,-242,3279.842061169607,29819
Brasil C&T,Brasil,C&T,2024,12,202412,15531,21214,-5683,3146.8508865228964,24136
Brasil C&T,Brasil,C&T,2025,1,202501,26088,22297,3791,3273.2091143414063,27927
Brasil C&T,Brasil,C&T,2025,2,202502,28814,23709,5105,3231.338538161772,33032
Brasil C&T,Brasil,C&T,2025,3,202503,26580,22233,4347,3173.696558223388,37379
Brasil C&T,Brasil,C&T,2025,4,202504,27267,23181,4086,3242.4842697495947,41465
Brasil C&T,Brasil,C&T,2025,5,202505,27745,24567,3178,3218.4870867677714,44643
Brasil C&T,Brasil,C&T,2025,6,202506,27076,22643,4433,3257.630154161147,49076
Brasil C&T,Brasil,C&T,2025,7,202507,27625,24569,3056,3301.7459349484416,52132
Brasil C&T,Brasil,C&T,2025,8,202508,27726,25482,2244,3304.1489748022327,54376
Brasil C&T,Brasil,C&T,2025,9,202509,29550,23766,5784,3369.7096836285264,60160
Brasil C&T,Brasil,C&T,2025,10,202510,26825,24641,2184,3279.923649356466,62344
Brasil TI,Brasil,TI,2024,1,202401,17151,15695,1456,5051.103465015066,609175
Brasil TI,Brasil,TI,2024,2,202402,16215,15124,1091,5192.353843875407,610266
Brasil TI,Brasil,TI,2024,3,202403,17246,15791,1455,5051.825670550397,611721
Brasil TI,Brasil,TI,2024,4,202404,18973,16594,2379,5104.301197906408,614100
Brasil TI,Brasil,TI,2024,5,202405,17325,17083,242,5233.309269095251,614342
Brasil TI,Brasil,TI,2024,6,202406,16812,15316,1496,5409.79446225681,615838
Brasil TI,Brasil,TI,2024,7,202407,19376,15856,3520,5232.186124925572,619358
Brasil TI,Brasil,TI,2024,8,202408,20651,16640,4011,5363.697035883112,623369
Brasil TI,Brasil,TI,2024,9,202409,24382,16145,8237,4918.387663213328,631606
Brasil TI,Brasil,TI,2024,10,202410,18357,24590,-6233,4709.866341844103,625373
Brasil TI,Brasil,TI,2024,11,202411,16115,14899,1216,5427.076012852391,626589
Brasil TI,Brasil,TI,2024,12,202412,12702,13475,-773,5481.508498967969,625816
Brasil TI,Brasil,TI,2025,1,202501,17544,17552,-8,5361.7621788030065,625808
Brasil TI,Brasil,TI,2025,2,202502,19318,16503,2815,5211.426632741507,628623
Brasil TI,Brasil,TI,2025,3,202503,18622,16357,2265,5411.386368115028,630888
Brasil TI,Brasil,TI,2025,4,202504,19774,17894,1880,5530.377743829538,632768
Brasil TI,Brasil,TI,2025,5,202505,18520,17774,746,5544.520968400718,633514
Brasil TI,Brasil,TI,2025,6,202506,19016,17098,1918,5805.019576019744,635432
Brasil TI,Brasil,TI,2025,7,202507,19247,17319,1928,5717.326587423313,637360
Brasil TI,Brasil,TI,2025,8,202508,19475,18463,1012,5640.398286824164,638372
Brasil TI,Brasil,TI,2025,9,202509,19685,17489,2196,5671.212839027542,640568
Brasil TI,Brasil,TI,2025,10,202510,18992,18691,301,5868.0599339934,640869
Campina Grande C&T,Campina Grande,C&T,2024,1,202401,34,26,8,1732.5313333333334,8
Campina Grande C&T,Campina Grande,C&T,2024,2,202402,19,20,-1,1672.2353846153844,7
Campina Grande C&T,Campina Grande,C&T,2024,3,202403,91,22,69,2044.6965486725662,76
Campina Grande C&T,Campina Grande,C&T,2024,4,202404,93,26,67,2102.328991596638,143
Campina Grande C&T,Campina Grande,C&T,2024,5,202405,73,67,6,2081.1799285714287,149
Campina Grande C&T,Campina Grande,C&T,2024,6,202406,71,51,20,2252.7825409836064,169
Campina Grande C&T,Campina Grande,C&T,2024,7,202407,21,31,-10,2449.8846153846152,159
Campina Grande C&T,Campina Grande,C&T,2024,8,202408,51,46,5,2136.3905154639174,164
Campina Grande C&T,Campina Grande,C&T,2024,9,202409,55,31,24,2287.2596511627908,188
Campina Grande C&T,Campina Grande,C&T,2024,10,202410,56,49,7,2242.180380952381,195
Campina Grande C&T,Campina Grande,C&T,2024,11,202411,26,42,-16,2509.552058823529,179
Campina Grande C&T,Campina Grande,C&T,2024,12,202412,36,31,5,2404.209104477612,184
Campina Grande C&T,Campina Grande,C&T,2025,1,202501,24,39,-15,2165.094761904762,169
Campina Grande C&T,Campina Grande,C&T,2025,2,202502,36,50,-14,2153.435061728395,155
Campina Grande C&T,Campina Grande,C&T,2025,3,202503,9,70,-61,2149.3592405063296,94
Campina Grande C&T,Campina Grande,C&T,2025,4,202504,14,31,-17,2368.0468888888886,77
Campina Grande C&T,Campina Grande,C&T,2025,5,202505,16,60,-44,2236.518947368421,33
Campina Grande C&T,Campina Grande,C&T,2025,6,202506,15,55,-40,2276.8545714285715,-7
Campina Grande C&T,Campina Grande,C&T,2025,7,202507,10,40,-30,2118.0728,-37
Campina Grande C&T,Campina Grande,C&T,2025,8,202508,19,44,-25,2080.393015873016,-62
Campina Grande C&T,Campina Grande,C&T,2025,9,202509,15,38,-23,2377.01679245283,-85
Campina Grande C&T,Campina Grande,C&T,2025,10,202510,15,28,-13,2051.247142857143,-98
Campina Grande TI,Campina Grande,TI,2024,1,202401,9,8,1,2173.3,374
Campina Grande TI,Campina Grande,TI,2024,2,202402,11,8,3,2589.621578947368,377
Campina Grande TI,Campina Grande,TI,2024,3,202403,5,6,-1,4417.955454545454,376
Campina Grande TI,Campina Grande,TI,2024,4,202404,14,12,2,2650.343846153846,378
Campina Grande TI,Campina Grande,TI,2024,5,202405,27,10,17,2799.9035135135127,395
Campina Grande TI,Campina Grande,TI,2024,6,202406,17,16,1,2425.751818181818,396
Campina Grande TI,Campina Grande,TI,2024,7,202407,17,16,1,2478.076666666667,397
Campina Grande TI,Campina Grande,TI,2024,8,202408,9,12,-3,2196.2680952380956,394
Campina Grande TI,Campina Grande,TI,2024,9,202409,10,11,-1,2056.7885714285717,393
Campina Grande TI,Campina Grande,TI,2024,10,202410,17,20,-3,2299.460810810811,390
